"Samples","Number.of.outlier","Outlier.genes"
"TCGA.23.2079.01A.01R.0668.01",37,"C3AR1, CCL5, BST1, APOL6, ADAMDEC1, PPFIBP1, REPS2, ZNF165, GAL3ST4, GSTT1, RNASE6, LEF1, CCL19, COL8A2, CCL18, FZD2, TRIB2, LIME1, SKAP1, SLC12A8, RGS1, NCF2, MS4A6A, LAMP3, CXCL9, MYB, HPSE, FCGR2B, IFI44L, HLA-DOB, STXBP6, CXCL10, IGKC, LTB, APOBEC3G, CHI3L1, HLA-DQA1"
"TCGA.23.2081.01A.01R.0668.01",22,"FZD2, ST6GALNAC4, PPFIBP1, HIST1H2AE, ADAM28, C1orf54, ST3GAL6, CXCL10, APOBEC3G, SPAG4, RSAD2, SPOCK2, IL4R, FZD3, IFI44L, PTPRG, GSTT1, MYB, STXBP6, CHI3L1, GPC4, TRIB2"
"TCGA.23.2084.01A.02R.0668.01",43,"TRPM4, FCGR2B, CCR7, TLR2, EBI3, REPS2, QPCT, CLEC7A, AIF1, PPFIBP1, CXCL9, CCL19, ATHL1, TREM1, BRAF, C1orf54, MYB, GAL3ST4, TREM2, PTGER2, SAMSN1, SLC12A8, APOL3, LY86, SPOCK2, C3AR1, RNASE6, ST6GALNAC4, HPSE, SLC15A3, PLEKHF1, FZD3, APOBEC3G, APOL6, PNOC, MS4A6A, HLA-DQA1, RGS1, RSAD2, LAMP3, IFI44L, CHI3L1, CXCL10"
"TCGA.24.0966.01A.01R.0404.01",25,"RGS1, TRIB2, PPFIBP1, PLEKHF1, RPL10L, CCR7, LAMP3, SPOCK2, TCF7, LTC4S, CCL22, HIST1H2AE, FZD3, APOBEC3G, HIST1H2BG, GSTT1, RSAD2, CCL20, MYB, PNOC, MAP9, STXBP6, CXCL10, CHI3L1, IFI44L"
"TCGA.24.0968.01A.01R.0434.01",34,"IGKC, FZD2, C1orf54, SKAP1, CCL18, GPC4, IL4R, EGR2, EBI3, RSAD2, CCL20, TCF7, RNASE6, APOL6, CCR7, GAL3ST4, C3AR1, NCF2, DUSP2, MMP9, CCL19, FCGR2B, GSTT1, STXBP6, SLC12A8, LAMP3, FOSB, PNOC, RGS1, MS4A6A, APOBEC3G, IFI44L, CXCL10, CHI3L1"
"TCGA.24.0970.01B.01R.0434.01",30,"REPS2, ICA1, DUSP2, SLC2A6, RPL10L, C3AR1, SPOCK2, CYP27A1, IFI44L, NCF2, FZD2, C1orf54, GAL3ST4, RSAD2, MAGEA11, PPFIBP1, MS4A6A, TCF7, TRIB2, CA8, ACP5, FZD3, TNFAIP6, GSTT1, SKAP1, DACH1, RGS1, CHI3L1, SLC12A8, PNOC"
"TCGA.24.0975.01A.02R.0434.01",14,"C1orf54, HRH1, MAP9, WNT7A, PTPRG, GSTT1, TRIB2, DACH1, FZD2, CHI3L1, IGKC, SLC12A8, SPOCK2, PNOC"
"TCGA.24.0979.01A.01R.0434.01",47,"BIRC3, CCL19, ACP5, CLIC2, LTC4S, PBXIP1, FZD3, QPCT, APOL3, APOL6, C1orf54, RCAN3, SKAP1, CCR7, MAP4K1, ZNF165, AQP9, PLEKHF1, WNT7A, SLC15A3, SPAG4, IFI44L, REPS2, TRIB2, MYB, ST3GAL6, DAPK2, MICAL3, STXBP6, RSAD2, SPOCK2, RGS1, MAP9, TCF7, RPL10L, DUSP2, GSTT1, HLA-DQA1, SLC12A8, LAMP3, FOSB, ATHL1, APOBEC3G, PNOC, HRH1, CHI3L1, CXCL10"
"TCGA.24.0980.01A.01R.0404.01",64,"ZNF165, BANK1, TCF7, AIM2, RPL10L, BCL2A1, HCK, C11orf80, CHI3L2, GSTT1, ADAMDEC1, C1orf54, PIK3IP1, HIST1H2BG, EGR2, BRAF, HPSE, PBXIP1, EBI3, MS4A6A, ZFP36L2, PTPRG, BST1, SPAG4, ALOX5, KYNU, PLA2G7, CCR7, QPCT, HLA-DOB, PLEKHF1, NCF2, CCL5, CCL19, CCL4, HRH1, CCL20, VNN1, DUSP2, HIST1H2AE, APOL3, STXBP6, CXCL11, CYP27A1, FOSB, GPC4, CLEC7A, APOL6, IL4R, SLC12A8, TRIB2, RENBP, RSAD2, LAMP3, NOD2, RGS1, BIRC3, APOBEC3G, AQP9, CXCL10, IFI44L, TLR2, HLA-DQA1, CHI3L1"
"TCGA.24.0982.01A.01R.0434.01",25,"PBXIP1, GPR19, RSAD2, KIRREL, ACP5, PTPRG, TRIB2, PLEKHF1, STXBP6, SLC12A8, SPOCK2, MYB, HRH1, PPFIBP1, LAMP3, ST3GAL6, TCF7, IFI44L, CXCL10, APOBEC3G, FZD2, IGKC, PNOC, CHI3L1, UGT2B17"
"TCGA.24.1103.01A.01R.0434.01",40,"RRP9, MICAL3, SLC15A3, SPOCK2, C1orf54, RPL10L, MAP9, TCF7, PLEKHF1, MANEA, ATHL1, FZD2, EGR2, SKAP1, IFI44L, CYP27A1, ST3GAL6, TRIB2, SLC12A8, FZD3, FOSB, SPAG4, HIST1H2BG, REPS2, PNOC, QPCT, BRAF, LAMP3, CRISP3, MYB, DUSP2, CXCL10, PTPRG, APOL6, CCL20, APOBEC3G, GSTT1, HIST1H2AE, CHI3L1, STXBP6"
"TCGA.24.1104.01A.01R.0434.01",27,"EGR2, BRAF, CXCL9, DAPK2, REPS2, NCF2, LTC4S, C1orf54, C3AR1, TREM2, SLC12A8, MMP9, HIST1H2AE, ATHL1, IFI44L, SKAP1, STXBP6, MS4A6A, APOBEC3G, HLA-DQA1, FCGR2B, CXCL10, IGKC, RGS1, GSTT1, CHI3L1, HPSE"
"TCGA.24.1105.01A.01R.0434.01",39,"TREM1, APOL6, TRPM4, RRP9, RPL10L, PPFIBP1, TRIB2, IL4R, PBXIP1, ZNF165, MAP9, FZD3, ADAM28, MAGEA11, MAP4K1, ATHL1, KIRREL, NCF2, TCF7, HPSE, SPAG4, RGS1, FZD2, ACP5, WNT7A, HIST1H2BG, CCL18, HIST1H2AE, APOBEC3G, FCGR2B, DACH1, SLC12A8, CHI3L1, PTPRG, SPOCK2, IGKC, CXCL10, CXCL9, PNOC"
"TCGA.24.1413.01A.01R.0453.01",32,"TREM1, RPL10L, C1orf54, SPOCK2, SLC12A8, ACP5, FZD3, NCF2, TRIB2, IL4R, SPAG4, MYB, TCF7, APOL6, ADAM28, SLC15A3, GSTT1, ST3GAL6, PLEKHF1, FZD2, ATHL1, MMP9, CXCL11, APOBEC3G, PNOC, HLA-DQA1, LAMP3, RSAD2, STXBP6, CXCL10, IFI44L, CHI3L1"
"TCGA.24.1416.01A.01R.0477.01",42,"RCAN3, RPL10L, NCF2, FCGR2B, LY86, SMPDL3B, SLC12A8, DACH1, TRIB2, C3AR1, BIRC3, ADAMTS3, SKAP1, SLC15A3, AQP9, TREM2, FZD3, CCND2, ATHL1, PTGER2, SPOCK2, DUSP2, MAP9, EGR2, CRISP3, RSAD2, TCF7, RNASE6, MMP9, CXCL10, ACP5, STXBP6, GSTT1, HLA-DQA1, LAMP3, PNOC, APOBEC3G, RGS1, IFI44L, FOSB, MYB, CHI3L1"
"TCGA.24.1417.01A.01R.0477.01",36,"MAP9, PLEKHF1, HLA-DQA1, BCL2A1, LY86, C1orf54, SLC12A8, HIST1H2AE, SAMSN1, IGHM, MYB, CXCL13, CCL22, HPSE, EBI3, HIST1H2BG, CCR7, CCL19, STXBP6, IGKC, HSPA6, NCF2, C3AR1, FCGR2B, FZD3, RNASE6, MS4A6A, APOBEC3G, CXCL11, RGS1, CHI3L1, RSAD2, LAMP3, PNOC, CXCL10, IFI44L"
"TCGA.24.1418.01A.01R.0477.01",56,"IL7R, BRAF, MANEA, MYB, REPS2, MAP4K1, AIF1, CYP27A1, C5AR1, GAL3ST4, CHI3L1, ATHL1, BCL7A, CD22, ICA1, RYR1, LY86, PDK1, SAMSN1, TCF7, GPC4, HPSE, PLEKHF1, C3AR1, ZNF165, MAP9, SMPDL3B, C1orf54, PTPRG, PPFIBP1, FCGR2B, TNFAIP6, CA8, MS4A6A, RNASE6, FZD2, WNT7A, TRIB2, APOBEC3G, SPAG4, LAMP3, DUSP2, RSAD2, EGR2, FZD3, STXBP6, MAGEA11, IFI44L, FOSB, SLC12A8, RGS1, SPOCK2, HLA-DQA1, CXCL10, IGKC, PNOC"
"TCGA.24.1419.01A.01R.0477.01",38,"ZNF324, SPAG4, DACH1, SLC15A3, PIK3IP1, ZNF165, HNMT, PPFIBP1, TRPM4, ATHL1, ZFP36L2, ST3GAL6, RPL10L, SELL, PBXIP1, BCL7A, CYP27A1, CD22, HPSE, TCF7, LEF1, FZD2, GPC4, SPOCK2, RSAD2, FZD3, C1orf54, APOBEC3G, QPCT, EGR2, LAMP3, GSTT1, CCND2, MYB, CHI3L1, CCL20, CXCL10, IFI44L"
"TCGA.24.1422.01A.01R.0477.01",35,"LTC4S, IL4R, NPL, PLEKHF1, SAMSN1, FOSB, CCND2, HIST1H2BG, PRF1, FZD3, GAL3ST4, TREM2, IL2RB, C1orf54, TNFAIP6, SPOCK2, NCF2, IFI44L, PPFIBP1, ATHL1, ST3GAL6, MMP9, C3AR1, RNASE6, CXCL10, APOBEC3G, LY86, GSTT1, PNOC, GNLY, MS4A6A, SLC12A8, RGS1, FCGR2B, CHI3L1"
"TCGA.24.1423.01A.01R.0477.01",44,"ZNF165, BCL7A, C11orf80, DACH1, NCF2, APOBEC3A, PLEKHF1, PIK3IP1, DUSP2, PPFIBP1, RGS1, UGT2B17, MMP9, SMPDL3B, ZFP36L2, WNT7A, MANEA, APOL6, GPC4, CCL20, FZD3, PBXIP1, SPAG4, ACP5, C1orf54, APOBEC3G, IFI44L, GSTT1, CXCL9, SLC12A8, BMP2K, PNOC, CLIC2, ST3GAL6, DSC1, CXCL11, PTPRG, QPCT, SPOCK2, SLC12A1, RSAD2, LAMP3, CXCL10, CHI3L1"
"TCGA.24.1424.01A.01R.0477.01",28,"CCR7, FCGR2B, MAP9, FZD3, SPAG4, HLA-DQA1, CCL19, C3AR1, HOXA1, FZD2, CHI3L1, GPR19, DACH1, APOBEC3G, TRIB2, SPOCK2, GSTT1, SLC12A8, RGS1, GPC4, MS4A6A, PLEKHF1, PNOC, IGKC, LAMP3, RSAD2, IFI44L, CXCL10"
"TCGA.24.1425.01A.02R.0502.01",37,"PLEKHF1, PTPRG, RSAD2, LY86, HRH1, IL4R, FZD3, C5AR1, ADAMDEC1, CCL18, SAMSN1, VNN1, GSTT1, SPOCK2, TCF7, IL2RB, TNFAIP6, GAL3ST4, PNOC, EGR2, REPS2, NCF2, IFI44L, FCGR2B, APOBEC3G, C1orf54, MS4A6A, RGS1, C3AR1, HLA-DQA1, CXCL10, FOSB, AQP9, IGKC, CHI3L1, CRISP3, SLC12A8"
"TCGA.24.1426.01A.01R.0477.01",35,"C3AR1, AIF1, BCL7A, PBXIP1, KIRREL, RSAD2, PLEKHF1, GPC4, CYP27A1, REPS2, MICAL3, SPAG4, RPL10L, HIST1H2AE, TCF7, HIST1H2BG, BIRC3, SLC12A8, ACP5, APOBEC3G, TRIB2, FCGR2B, MS4A6A, RGS1, LAMP3, PPFIBP1, CHI3L1, MAP4K1, SKAP1, RYR1, SPOCK2, CCL20, ATHL1, IFI44L, PNOC"
"TCGA.24.1427.01A.01R.0477.01",49,"COL8A2, CCR7, PBXIP1, SMPDL3B, TCF7, CD38, DUSP2, RPL10L, IL7R, KIRREL, BMP2K, GPC4, AIF1, HIST1H2BG, CCR5, GAL3ST4, MNDA, ST3GAL6, MAP9, PNOC, GZMK, FZD2, BST1, CXCL9, FZD3, HPSE, IFI44L, PPFIBP1, DACH1, C5AR1, LY86, SAMSN1, TRIB2, C1orf54, RNASE6, TREM2, CHI3L1, CXCL10, APOBEC3G, ADAMTS3, EGR2, C3AR1, MS4A6A, FOSB, FCGR2B, SLC12A8, SPOCK2, RGS1, IGKC"
"TCGA.24.1428.01A.01R.0477.01",50,"KYNU, KIRREL, CXCL9, RPL10L, C1orf54, SLAMF1, TCF7, CYP27B1, MYB, CRISP3, CCL7, CD40, NCF2, PPFIBP1, CCL18, CD38, APOL3, ACP5, TREM2, IRF8, LAMP3, GPC4, TRIB2, TREM1, RNASE6, IL1B, TNFAIP6, C3AR1, CCR7, APOL6, EBI3, RGS1, HPSE, HLA-DQA1, RSAD2, CCL19, BIRC3, CCL20, IGHM, ADAMDEC1, APOBEC3G, STXBP6, FCGR2B, CHI3L1, IFI44L, PNOC, CXCL11, MMP9, IGKC, CXCL10"
"TCGA.24.1430.01A.01R.0477.01",31,"PLEKHF1, PTPRG, BANK1, CA8, CCND2, ADAMTS3, KIRREL, SPAG4, PPFIBP1, TCF7, CYP27A1, PBXIP1, ICA1, SPOCK2, RPL10L, PIK3IP1, GPR19, SMPDL3B, BST1, TRIB2, WNT5B, DACH1, CCL20, AQP9, GPC4, CHI3L1, PLA2G7, HIST1H2AE, FZD3, STXBP6, PNOC"
"TCGA.24.1431.01A.01R.0477.01",46,"CCL18, APOL3, HLA-DOB, MMP9, RCAN3, LIME1, TCF7, ST6GALNAC4, HAL, BANK1, SAMSN1, TRPM4, AIF1, RRP9, GSTT1, GAL3ST4, ICA1, VILL, C1orf54, FCGR2B, DPP4, C11orf80, SKAP1, PIK3IP1, LY86, HNMT, RPL10L, SLC12A8, C3AR1, WNT7A, RNASE6, PTPRG, PPFIBP1, TREM2, MYB, DACH1, HLA-DQA1, HRH1, MS4A6A, ST3GAL6, CXCL10, RGS1, PNOC, TRAF4, CHI3L1, STXBP6"
"TCGA.24.1434.01A.01R.0477.01",37,"GAL3ST4, TNFAIP6, SAMSN1, RYR1, TLR2, IFI44L, AIF1, SMPDL3B, NCF2, STXBP6, TRIB2, SPOCK2, APOBEC3G, TREM1, DUSP2, GPC4, MMP9, GSTT1, C1orf54, FOSB, LY86, CCL4, RNASE6, TREM2, MS4A6A, CXCL9, EGR2, HLA-DQA1, C3AR1, IGKC, SLC12A8, PNOC, IL1B, CHI3L1, CXCL10, FCGR2B, RGS1"
"TCGA.24.1435.01A.01R.0477.01",45,"LAMP3, TLR2, BST1, RPL10L, CST7, C1orf54, CCL5, AIF1, BCL2A1, HPSE, SLC12A8, GAL3ST4, REN, CXCL11, SCN9A, NCF2, PTPRG, LY86, EBI3, CCL19, PNOC, TRIB2, CCR7, C3AR1, CXCL9, RNASE6, CCL20, SPAG4, CCL22, FCGR2B, MAP9, HIST1H2BG, LTB, FZD3, RSAD2, APOBEC3G, GSTT1, HIST1H2AE, MS4A6A, STXBP6, IFI44L, RGS1, CHI3L1, HLA-DQA1, CXCL10"
"TCGA.24.1436.01A.01R.0477.01",56,"C1orf54, PLEKHF1, C11orf80, C5AR1, FOSB, ATHL1, CCR7, MICAL3, DHX58, ADAMDEC1, AIM2, TREM2, FZD3, CCL4, GAL3ST4, MMP9, SIGLEC1, SMPDL3B, REPS2, PTGER2, CCL19, CCR5, FCGR2B, LY86, CXCL9, BIRC3, TRIB2, PTPRG, GPC4, VNN3, SAMSN1, APOL6, C3AR1, APOL3, PLA2G7, ST3GAL6, AQP9, PPFIBP1, SLC15A3, APOBEC3A, SLC12A8, MS4A6A, HPSE, RNASE6, HLA-DQA1, SPOCK2, STXBP6, RGS1, CXCL11, APOBEC3G, PNOC, RSAD2, CHI3L1, IFI44L, LAMP3, CXCL10"
"TCGA.24.1463.01A.01R.0477.01",25,"PTPRG, TCF7, CCR7, SPOCK2, CCL19, NCF2, MS4A6A, FZD3, SLC12A8, C1orf54, GSTT1, C3AR1, PPFIBP1, SPAG4, RSAD2, FCGR2B, MMP12, MMP9, IFI44L, RGS1, CXCL10, TRIB2, APOBEC3G, PNOC, CHI3L1"
"TCGA.24.1464.01A.01R.0477.01",39,"GAL3ST4, CCR5, CYP27A1, APOL6, CCL5, DHX58, TREM2, MICAL3, CCL19, SLC12A1, FCGR2B, TCF7, BCL7A, C3AR1, RGS1, FZD3, SKAP1, STXBP6, LAMP3, C1orf54, FZD2, MAK, KIRREL, SPOCK2, LTB, PTPRG, BMP2K, PPFIBP1, MS4A6A, SLC12A8, ZNF165, SLC15A3, CHI3L1, MYB, APOBEC3G, MAP9, CXCL10, IFI44L, UGT2B17"
"TCGA.24.1466.01A.01R.0477.01",33,"RRP9, CCL20, MICAL3, HIST1H2BG, TRAF4, FCGR2B, MYB, TCF7, NCF2, PPFIBP1, C1orf54, ADAM28, KIRREL, TREM2, SMPDL3B, APOL6, HIST1H2AE, GSTT1, TRIB2, HPSE, SKAP1, RSAD2, PLEKHF1, SLC12A8, FZD3, STXBP6, MAP9, RGS1, CXCL10, APOBEC3G, LAMP3, IFI44L, CHI3L1"
"TCGA.24.1467.01A.01R.0477.01",26,"BMP2K, PLEKHF1, CXCL9, RPL10L, RSAD2, APOBEC3G, VILL, DACH1, MS4A6A, HRH1, STXBP6, TRIB2, FZD3, HIST1H2AE, MAK, TCF7, IGKC, ST3GAL6, MAP9, HLA-DQA1, ATHL1, MYB, GSTT1, IFI44L, CXCL10, CHI3L1"
"TCGA.24.1469.01A.01R.0502.01",41,"SMPDL3B, DUSP2, PBXIP1, RGS1, SLC12A8, ZNF165, RYR1, SPAG4, QPCT, CCL19, MICAL3, BMP2K, MANEA, C1orf54, CXCL11, RSAD2, HLA-DQA1, NCF2, GSTT1, PTPRG, CSF3R, MAP4K1, BIRC3, P2RY2, ST3GAL6, GPR19, CCL20, CA8, FZD2, LAMP3, MAP9, MYB, STXBP6, IFI44L, FZD3, APOBEC3G, MAGEA11, MMP12, CHI3L1, CXCL10, IGKC"
"TCGA.24.1470.01A.01R.0502.01",55,"KIAA0754, PPFIBP1, CCR5, TCF7, HLA-DOB, GAL3ST4, CCL19, HAL, HIST1H2BG, CCL18, SAMSN1, HIST1H2AE, VNN3, CA8, SMPDL3B, VNN1, ACP5, IL4R, LY86, SLC12A8, CXCL13, FOSB, BIRC3, AIF1, ST3GAL6, CXCL11, NCF2, FCGR2B, TREM2, DUSP2, ATHL1, LTC4S, GPC4, EGR2, APOL6, CCL20, PIK3IP1, PNOC, C1orf54, C3AR1, IL1B, STXBP6, LAMP3, RNASE6, RSAD2, APOBEC3G, VILL, IGKC, CRISP3, MS4A6A, CXCL9, IFI44L, RGS1, CXCL10, CHI3L1"
"TCGA.24.1471.01A.01R.0502.01",41,"EPN2, PBXIP1, REPS2, FCGR2B, ICA1, CYP27A1, PLEKHF1, WNT7A, KIRREL, RCAN3, APOL3, CLEC7A, TREM2, FZD3, FOSB, RSAD2, MYB, LTC4S, TLR2, AIF1, MICAL3, TCF7, LY86, SMPDL3B, RPL10L, C3AR1, MS4A6A, SKAP1, RNASE6, CCL20, APOBEC3G, STXBP6, HPSE, IFI44L, HRH1, CXCL10, ST3GAL6, RGS1, BIRC3, CHI3L1, PNOC"
"TCGA.24.1474.01A.01R.0502.01",47,"TLR7, RPL10L, CCL18, FRK, TCF7, CYP27A1, APOBEC3G, EPN2, MANEA, BIRC3, C5AR1, PTPRG, TRAF4, C1orf54, ST3GAL6, CD69, ADAMTS3, NCF2, SLC12A8, TLR2, LAMP3, VNN3, GAL3ST4, CLEC7A, LY86, CCND2, RSAD2, RNASE6, SAMSN1, VNN1, FZD2, C3AR1, CDH12, STXBP6, HPSE, MMP9, ZNF165, TREM2, MYB, DUSP2, FCGR2B, MS4A6A, CXCL10, IFI44L, RGS1, MNDA, CHI3L1"
"TCGA.24.1544.01A.01R.0538.01",31,"FZD3, CYP27A1, SPOCK2, LEF1, BCL7A, CXCL10, WNT7A, LTC4S, APOBEC3G, SMPDL3B, PBXIP1, MAP9, SKAP1, GSTT1, FZD2, SPAG4, VILL, TRIB2, C1orf54, DACH1, RYR1, RSAD2, PLEKHF1, COL8A2, MAP4K1, PNOC, LAMP3, PLA1A, CA8, IFI44L, CHI3L1"
"TCGA.24.1545.01A.01R.0538.01",60,"PTPRG, CYP27A1, MMP9, TREM2, CD3E, AMPD1, TLR2, SPAG4, IRF8, ST3GAL6, WNT7A, CST7, CLEC7A, FZD2, CD3D, LY86, CCR5, IGSF6, SLAMF8, C1orf54, AIF1, RYR1, APOL3, APOL6, CD27, GAL3ST4, COL8A2, PPFIBP1, AQP9, CCL5, SMPDL3B, TRIB2, SAMSN1, CXCL11, CXCL13, GPC4, MNDA, GZMK, RGS1, LAMP3, C3AR1, RSAD2, CD2, TNFRSF17, SPOCK2, SLC12A8, FZD3, RNASE6, APOBEC3G, IGHD, FCGR2B, CRISP3, MS4A6A, IFI44L, CHI3L1, CXCL10, IGHM, CXCL9, PNOC, IGKC"
"TCGA.24.1546.01A.01R.0538.01",29,"LY86, RPL10L, PPFIBP1, PLA2G7, PNOC, CD1B, ACP5, CD38, NCF2, PLEKHF1, CST7, CXCL10, IGHM, C1orf54, IGHD, C3AR1, IL1B, SLC12A8, WNT7A, GSTT1, TRIB2, RGS1, COL8A2, APOBEC3G, FCGR2B, HLA-DQA1, CHI3L1, CRISP3, IGKC"
"TCGA.24.1548.01A.01R.0538.01",48,"ICA1, C1orf54, RPL10L, ST3GAL6, BANK1, KLRF1, EPHA1, APOL6, CCL19, ZFP36L2, SPAG4, AQP9, MAP4K1, CCL20, HAL, LEF1, RYR1, GPR19, MAP9, CCND2, CHI3L1, BRAF, FCGR2B, PLEKHF1, FZD2, PPFIBP1, MYB, SLC15A3, GSTT1, SLC12A8, REPS2, SMPDL3B, TCF7, RGS1, CXCL11, IGHM, MS4A6A, IRF8, PNOC, SPOCK2, APOBEC3G, FZD3, RSAD2, GPC4, IGKC, LAMP3, IFI44L, CXCL10"
"TCGA.24.1549.01A.01R.0502.01",56,"SMPDL3B, LEF1, CD2, HLA-DOB, BIRC3, SLC12A8, RCAN3, TRAF4, ST3GAL6, FRK, IL7, APOL6, CCR7, MS4A6A, BMP2K, EBI3, ZNF165, RGS1, TLR2, PLEKHF1, MAN1A1, BST1, VILL, FZD3, CXCL11, IL4R, SPAG4, CCL19, SPOCK2, IL2RB, RYR1, GPR19, HHEX, SLC15A3, HPSE, MANEA, MYB, PTPRG, GZMB, IGKC, MAP9, BANK1, ACP5, AIM2, MAGEA11, APOBEC3G, CDH12, STXBP6, MMP12, RSAD2, GNLY, LAMP3, IFI44L, HLA-DQA1, CHI3L1, CXCL10"
"TCGA.24.1550.01A.01R.0502.01",39,"HCK, LAMP3, QPCT, IGHD, RYR1, SPAG4, GPC4, SLC15A3, IGSF6, PLEKHF1, PTGER2, PLA2G7, ADAMDEC1, RGS1, BST1, RSAD2, APOBEC3G, DACH1, STXBP6, DUSP2, C3AR1, ACP5, RNASE6, PTPRG, HLA-DQA1, IFI44L, MS4A6A, CXCL9, NCF2, CHI3L1, FZD2, TRIB2, MMP12, FCGR2B, C1orf54, IGHM, CXCL10, MMP9, IGKC"
"TCGA.24.1551.01A.01R.0502.01",40,"CCL5, SAMSN1, MAP4K1, TCF7, RNASE6, APOL6, RSAD2, CCL18, PLA2G7, TLR2, FZD3, VNN2, SLC12A8, C3AR1, MYB, VNN1, EAF2, IL1B, TREM2, PIK3IP1, HPSE, NCF2, CD40, LIME1, MS4A6A, IFI44L, MMP12, CRISP3, BIRC3, AIM2, CXCL9, CCL20, MMP9, RGS1, FCGR2B, APOBEC3G, CXCL10, GSTT1, LTB, CHI3L1"
"TCGA.24.1552.01A.01R.0502.01",40,"EGR2, ZNF165, KIRREL, MAP9, DGKA, SKAP1, HIST1H2BG, GPR19, RSAD2, FOSB, SMPDL3B, BMP2K, NCF2, CXCL10, PPFIBP1, C1orf54, PIK3IP1, TCF7, CHI3L1, BST1, MYB, APOBEC3G, FZD3, MMP9, SPAG4, PLA2G7, ST3GAL6, RGS1, PLEKHF1, RPL10L, SLC12A8, ACP5, SLC15A3, IFI44L, PNOC, HIST1H2AE, RYR1, SPOCK2, QPCT, MAP4K1"
"TCGA.24.1553.01A.01R.0502.01",39,"SLC12A8, CCL4, TLR7, LTC4S, CD38, HPSE, BCL2A1, C1orf54, GZMA, TREM2, C3AR1, CXCL11, CD3D, EBI3, TRIB2, APOL6, TNFAIP6, CCR7, RNASE6, CCR5, CXCL13, CD2, LY86, CHI3L1, CCL5, SPOCK2, CCL19, MMP9, IFI44L, RGS1, FCGR2B, PNOC, GZMK, MS4A6A, APOBEC3G, CXCL10, HLA-DQA1, CXCL9, IGKC"
"TCGA.24.1555.01A.01R.0502.01",24,"PTPRG, PLEKHF1, HIST1H2BG, BST1, TCF7, ACP5, NCF2, RPL10L, GPC4, IFI44L, ST3GAL6, AQP9, MMP9, HRH1, SPOCK2, GSTT1, HPSE, FZD3, CCL20, HIST1H2AE, PNOC, STXBP6, CXCL10, CHI3L1"
"TCGA.24.1556.01A.01R.0538.01",36,"C11orf80, ZNF165, MYB, CCL18, RNASE6, CCR5, IL4R, TNFAIP6, TCF7, ZFP36L2, SMPDL3B, NCF2, EBI3, CCR7, GPR19, APOL6, C3AR1, SLC12A8, RGS1, CCL19, STXBP6, HLA-DOB, MS4A6A, SKAP1, APOL3, GSTT1, CXCL11, HPSE, LAMP3, RSAD2, APOBEC3G, CHI3L1, CXCL10, IFI44L, CRISP3, HLA-DQA1"
"TCGA.24.1557.01A.01R.0538.01",51,"SLC12A8, CLEC10A, BRAF, AIF1, C1orf54, GAL3ST4, BCL7A, RPL10L, PDK1, APOL6, PBXIP1, TCF7, C11orf80, HLA-DOB, HIST1H2BG, CCL18, NCF2, LTC4S, SMPDL3B, STXBP6, SPAG4, CXCL11, FCGR2B, TRIB2, IL4R, PPFIBP1, RYR1, ST6GALNAC4, C3AR1, PTPRG, GPC4, MAP9, MYB, RNASE6, PLEKHF1, RGS1, IGKC, SPOCK2, CRISP3, CXCL9, LIME1, HIST1H2AE, GSTT1, RSAD2, FZD3, APOBEC3G, PNOC, IFI44L, LAMP3, CXCL10, CHI3L1"
"TCGA.24.1558.01A.01R.0538.01",30,"RGS1, PLEKHF1, MMP9, TCF7, WNT5B, PLA2G7, KIRREL, PTPRG, HPSE, HIST1H2BG, TRIB2, LAMP3, ZNF165, PNOC, HIST1H2AE, CHI3L1, ZNF222, SMPDL3B, SLC12A8, NCF2, MYB, SPOCK2, BMP2K, HLA-DQA1, CLEC7A, CXCL10, RYR1, APOBEC3G, MAP4K1, LTB"
"TCGA.24.1560.01A.01R.0538.01",35,"SLC12A8, PNOC, DUSP2, ICA1, FOSB, SKAP1, REPS2, DACH1, LEF1, UGT2B17, PIK3IP1, HLA-DQA1, HIST1H2AE, ADAM28, ST3GAL6, QPCT, KLRF1, C1orf54, APOBEC3G, HIST1H2BG, TRIB2, TCF7, PDK1, SMPDL3B, CHI3L1, LAMP3, ATHL1, CA8, RSAD2, FZD3, CXCL10, CCND2, AQP9, IFI44L, SPAG4"
"TCGA.24.1562.01A.01R.0502.01",30,"GAL3ST4, PTPRG, HIST1H2BG, TRIB2, SPOCK2, VILL, DACH1, HPSE, LTC4S, FCGR2B, PLA2G7, RPL10L, HIST1H2AE, IFI44L, RGS1, SPAG4, MS4A6A, CCL20, NCF2, HLA-DQA1, SLC12A8, GSTT1, HRH1, CXCL10, STXBP6, APOBEC3G, FZD3, LTB, PNOC, CHI3L1"
